Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
7-Jan-11,Pig-Nosed Turtles; Star Tortoises; Chinese Soft-Shell Turtles; Indian Flap Turtles; Chinese Big-Headed Turtles; Snail Eating Turtles,Los Angeles Airport,"Los Angeles, USA",Japan,,"Los Angeles, USA",,55,,,Luggage,,Snack food boxes,"15 Pig-Nosed Turtles (CITES II), 14 Snail Eating Turtles (CITES II), 3 Chinese Big-headed Turtles (CITES II), 5 Indian Flap Turtles (CITES II), Chinese Soft Shelled Turtles (CITES II), Star Tortoises (Either CITES I or CITES II) were discovered in 5 japanese candy packages, wrapped in cloth along with $16,112 of undeclared currency. Animals were recovered alive and two japanese nationals were arrested. This seizure was the culmination of 'Operation Flying Turtle' by the U.S. Fish and Wildlife Service",https://www.cbp.gov/newsroom/local-media-release/2011-01-11-050000/55-live-turtles-found-passengers-luggage-lax ; http://www.laweekly.com/news/feds-find-55-turtles-illegally-smuggled-into-lax-stuffed-in-snack-food-boxes-2397649,,,,,,,,,,,,,,,,,,,
31-Jan-11,Tortoises,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,,,8,,,Luggage,X-ray,,Singaporean man was arrested also carrying two Bali Myna birds and four slow lorises (CITES II). Pig-nosed turtles are listed as CITES I,TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2011/2/19/rare-birds-and-other-wildlife-seized-at-jakarta-airport-duri.html,,,,,,,,,,,,,,,,,,,
1-Feb-11,Reptiles,Munich Airport,"Munich, Germany",Indonesia,,"Munich, Germany",,152,,,Airfreight,,,"The reptiles were bound for a German trader. Green tree pythons were among the specimens, many of which died after the seizure",https://cites.org/sites/default/files/reports/11-12Germany.pdf,,,,,,,,,,,,,,,,,,,
9-Feb-11,Indian Star Tortoises; Ball Pythons; Elongated Tortoises; Bearded Dragons; Radiated Tortoises; Argentine Horned Frogs; Mata mata Turtles; Spiny Tailed Lizards; Striped Narrow-Headed Turtles; Aldabra Troiteses; Boa Constrictors; Sudan Plated Lizards; Corn Snakes; King Snakes; Ploughshare Toirtoises; Pig-nosed Turtles; milk snakes; hog-nosed snakes,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,,,257,,,Luggage,X-ray,,"88 Indian Star Tortoises (CITES II), 34 Ball pythons (CITES II), 33 Elongated Tortoises(CITES II), 19 Bearded Dragons, 7 Radiated tortoises (CITES I), 6 Argentine Horned Frogs, 4 Mata Mata Turtles, 4 Spiny Tailed Lizards, 4 Striped Narrow-headed turtles (CITES II), 3 Aldabra Tortoises(CITES II), 2 Boa Constrictors (CITES I), 2 Sudan Plated Lizards, 2 Corn Snakes, 2 King Snakes, 1 Ploughshare Tortoise(CITES I), 1 Pig-nosed Turtle(CITES II), 1 Milk Snake, 1 Hog nosed Snake. Also found 22 common squirrels, 18 baboon spider and 1 African grey parrot. One arrest. The man had purchased all the animals at Chatuchak Market (An outdoor market in Bangkok). The animals were found in three suitcases",http://www.ecoworld.com/animals/birds/; http://www.worldwildlife.org/stories/snakes-on-a-plane-and-turtles-and-spiders-and,,,,,,,,,,,,,,,,,,,
11-Feb-11,Indian Star Tortoises; Lizards; Pythons; Boa Constrictors; Ploughshare Tortoises; Yellow-headed turtles,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,,,185,,,Luggage,X-ray,,"suspect aged 34 was about to bard the plane; 88 Indian star turtles, 33 yellow-headed turtle and ploughshare tortoise (very rare protected species), 2 boa constrictors, 34 pythons, 18 tarantulas, squirrels, several species of lizards and a Gray Gabon parrot; majority of the reptiles were neclosed in plastic boxes and others were founded in different compartments in suitcases; value estimated at 18,000 euros",http://www.maxisciences.com/trafic/des-centaines-d-039-animaux-rares-saisis-en-thailande_art12504.html,,,,,,,,,,,,,,,,,,,
22-Feb-11,Naja Naja Cobras,Tallinn Airport,"Tallinn, Estonia",,,"Tallinn, Estonia",,1,,,Luggage,,,,https://cites.org/sites/default/files/reports/11-12Estonia.pdf,,,,,,,,,,,,,,,,,,,
25-Mar-11,Pythons,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Dubai, UAE",,40,Emirates Airlines,,Luggage,X-ray,,Two arrests. The suspects were Kuwaiti nationals. Snakes were sedated and the suspects intended to sell the pythons to collectors in the UAE.,http://www.aljazeera.com/news/asia-pacific/2011/03/2011327639407224.html,,,,,,,,,,,,,,,,,,,
1-May-11,Reticulated Pythons,,Italy,Indonesia,,Italy,,200,,,Luggage,,,Reticulated Pythons (CITES II),https://cites.org/sites/default/files/eng/com/sc/62/Inf/E62i-03.pdf,,,,,,,,,,,,,,,,,,,
1-May-11,Spur-Thighed Tortoises,,United Kingdom,Turkey,,United Kingdom,,15,,,Unknown,,,Spur-thighed Tortoises (CITES II),https://cites.org/sites/default/files/eng/com/sc/62/Inf/E62i-03.pdf,,,,,,,,,,,,,,,,,,,
16-May-11,Chameleons; Frogs; Lizards ,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,China,,557,,,Luggage,X-ray,Pockets in wicker baskets; plastic bottles with leaves inside,"Total of 557 animals protected under Appendix II of CITES; 467 chameleons, 23 lizards and 58 frogs; 5 chameleons and 4 lizards found dead; Malagasy citizen (40 years old) was charged and charged with Customs fraud; trying to ship the animals to China",http://www.jacaranda.fr/2011/05/17/faits-divers-ivato-saisie-de-557-animaux-menaces/,,,,,,,,,,,,,,,,,,,
