Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
1-Oct-13,Black Pond Turtles,Hong Kong Airport,"Hong Kong, China",Thailand,,"Hong Kong, China",,335,,,Luggage,,,Black pond turtles (CITES I). One arrest. 330 turtles were stil alive upon discover.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_3.pdf,,,,,,,,,,,,,,,,,,,
3-Nov-13,Black Pond Turtles; Crowned River Turtles; Three-keeled Land Tortoises; Indian Eyed Turtles,Suvarnabhumi Airport,"Bangkok, Thailand",,Bangladesh,"Bangkok, Thailand",,80,,,Luggage,,,"72 Black Pond Turtles (CITES I), 6 Crowned River Turtles (CITES II), one Three-keeled Land Tortoise (CITES I), and one Indian Eyed Turtle (CITES II). The tortoises/turtles were discovered by Royal Thai Customs officials in two unclaimed bags that began emitting a rotting smell.",http://www.traffic.org/home/2013/11/12/royal-thai-Customs-intercept-three-attempts-to-smuggle-torto.html,,,,,,,,,,,,,,,,,,,
5-Nov-13,Indian Star Tortoises; Black Pond Turtles,Suvarnabhumi Airport,"Bangkok, Thailand","Dhaka, Bangladesh",,"Bangkok, Thailand",,475,,,Luggage,,,423 Indian Star Tortoises (CITES II); 52 Black Pond Turtles (CITES I). Two unclaimed bags were suspicious for being extremely heavy. Royal Thai Customs officials waited several hours for the bags to be picked up before deciding to confiscate and scan them. ,http://www.traffic.org/home/2013/11/12/royal-thai-Customs-intercept-three-attempts-to-smuggle-torto.html,,,,,,,,,,,,,,,,,,,
6-Nov-13,Ball Pythons,Shanghai Pudong Airport,"Shanghai, China","Hong Kong, China",,"Shanghai, China",,121,,,Luggage,X-ray,,Ball pythons (CITES II). Chinese citizen was caught carrying the snakes.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_3.pdf,,,,,,,,,,,,,,,,,,,
8-Nov-13,Indian Star Tortoises; Black Pond Turtles,Suvarnabhumi Airport,"Bangkok, Thailand","Lahore, Pakistan",,"Bangkok, Thailand",,470,Thai Airways,TG346,Luggage,,,423 Indian Star Tortoises and 52 Black Pond Turtles (CITES I). One Pakistani national (Mustafa Ali) was arrested with four suitcases on arrival in Bangkok from Lahore on Thai Airways International flight TG346. Royal Thai Customs facilitated this seizure. One source mentions that the turtles were discovered when two of unclaimed suitcases were opened at the airport. Unclear if this is correct.,http://www.traffic.org/home/2013/11/12/royal-thai-Customs-intercept-three-attempts-to-smuggle-torto.html; http://defence.pk/threads/290-deer-go-%E2%80%98missing%E2%80%99-from-lal-suhanra-national-park.290353/; http://annamiticus.com/2013/11/08/470-turtles-seized-thai-airport-smuggler-arrested/,,,,,,,,,,,,,,,,,,,
1-Nov-13,Pythons,,United Kingdom,Indonesia,,United Kingdom,,60,,,Airfreight,Risk assessment targeting,,,https://cites.org/sites/default/files/eng/com/sc/65/Inf/E-SC65-Inf-15.pdf,,,,,,,,,,,,,,,,,,,
1-Nov-13,Caimans,Schiphol Airport,"Amsterdam, Netherlands",Guyana,"Canada, Turkey","Amsterdam, Netherlands",,318,,,Luggage,,,Caimans (CITES II) were largely dead on arrival. They were packed too tightly in boxes.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_3.pdf,,,,,,,,,,,,,,,,,,,
1-Dec-13,Caimans; snakes,Schiphol Airport,"Amsterdam, Netherlands",Guyana,"Amsterdam, Netherlands",Ukraine,,203,,,Luggage,,,48 of the 200 Caimans (CITES II) were dead after the flight from Guyana and the 3 snakes and 14 further caimans died after landing. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_3.pdf,,,,,,,,,,,,,,,,,,,
4-Dec-13,Lizards; Chameleons,Arrachart Airport,"Antsiranana, Madagascar","Antsiranana, Madagascar",,,,89,,,Luggage,,,"suspect is a 58 year-old man, said that the reptiles were for a different country but unclear which one, 35 chameleons and 54 lizards",http://www.midi-madagasikara.mg/faits-divers/2013/12/04/diego-un-trafiquant-de-reptiles-arrete-laeroport/,,,,,,,,,,,,,,,,,,,
10-Dec-13,Radiated Tortoises,Suvarnabhumi Airport,"Bangkok, Thailand",Madagascar,,"Bangkok, Thailand",,62,Air Madagascar,MD 010,Luggage,,,Radiated tortoises (CITES I) were found in an unclaimed bag. One Malagasy was arrested.,TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2013/12/10/rare-malagasy-tortoises-turn-up-in-luggage-seized-in-bangkok.html http://www.midi-madagasikara.mg/economie/2013/12/12/aeroport-de-bangkok-un-bagage-rempli-de-tortues-saisi/,,,,,,,,,,,,,,,,,,,
1-Dec-13,Box Turtles,Xiamen Airport,"Xiamen, China",,,"Xiamen, China",,185,,,Unknown,,,Box turtles (CITES II). Hidden in double bottoms of polystyrene cases,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_3.pdf,,,,,,,,,,,,,,,,,,,
1-Jan-14,Turtles,Hong Kong Airport,"Hong Kong, China",Qatar,,"Hong Kong, China",,128,,,Luggage,,,Turtles were found wrapped inside socks in luggage of two passengers.,http://www.Customs.gov.hk/filemanager/common/pdf/pdf_publications/Departmental_Review_2014_e.pdf,,,,,,,,,,,,,,,,,,,
1-Jan-14,Reptiles; snakes,,Belgium,Cameroon,Belgium,Austria,,500,,,Airfreight,,,Included 33 Chameleons(CITES II) hidden among non-CITES species. Shipmment was targeted based on a risk assesment,http://ec.europa.eu/environment/cites/pdf/Overview%20significant%20seizures%202014.pdf,,,,,,,,,,,,,,,,,,,
7-Jan-14,Pig-Nosed Turtles,West Papua Airport,"West Papua, Indonesia","West Papua, Indonesia",,,,5400,,,Airfreight,,,"Pig-nosed turtles (CITES II). There are two possible airports in West Papua, both of them tiny (1000-1300 meters)",https://cites.org/sites/default/files/eng/cop/17/WorkingDocs/E-CoP17-73.pdf,,,,,,,,,,,,,,,,,,,
22-Jan-14,Frogs,Ben Gurion Airport,"Tel Aviv, Israel",South America,"New York, USA","Tel Aviv, Israel",,18,,,Luggage,suspect didn't declare 3 smartphones so Customs did a more thorough baggage inspection,Plastic Boxes,The suspect is a resident of Sharon in his 40s; returning from a trip to NY; Customs looked thorugh his luggage and found 3 smartphone Nexus 5 that the individual had not declared to Customs so the Customs did a more thorough inspection; the passenger told police that the frogs are native to South America and bought them to sell later,http://koide9enisrael.blogspot.com/2014/01/ben-gurion-tentative-de-contrebande-de.html,,,,,,,,,,,,,,,,,,,
31-Jan-14,Indian Star Tortoises; Black Pond Turtles,Don Meuang Airport,"Bangkok, Thailand","Chennai, India",,"Bangkok, Thailand",,521,,,Luggage,,,"440 Indian Star Tortoises (CITES II) and 65 Black Pond turtles (CITES I) were found by Thai Customs officials in 5 unclaimed bags on a flight from Chennai, india.",TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2014/2/28/bangkok-a-hub-in-recent-tortoise-trafficking-incidents.html,,,,,,,,,,,,,,,,,,,
3-Feb-14,San Salvador Rock Iguanas,Heathrow Airport,"London, United Kingdom",Bahamas,"London, United Kingdom","Dusseldorf, Germany",,13,,,Luggage,,Wrapped in individual socks,"San Salvador Rock Iguanas (CITES I), Each iguana was wrapped in a sock, and one had died in transit. Two Romanian women were arrested.",TRAFFIC Bulletin 1997 - 2016; https://www.gov.uk/government/news/endangered-iguanas-seized-by-border-force-at-heathrow,,,,,,,,,,,,,,,,,,,
5-Feb-14,Turtles,Chhatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Bangkok, Thailand",,200,,,Unknown,,,200 exotic turtles seized and Hanif Mohammed arrested. The turtles were supposed to be exported to Bangkok. Export of the seized species is banned under CITES. ,http://timesofindia.indiatimes.com/city/mumbai/3kg-of-gold-found-in-international-airport-toilet-200-exotic-turtles-rescued/articleshow/29925372.cms,,,,,,,,,,,,,,,,,,,
11-Feb-14,Radiated Tortoises; Chameleons; ploughshare tortoises,Hong Kong Airport,"Hong Kong, China",Madagascar,"Bangkok, Thailand","Hong Kong, China",,233,,,Luggage,,,"10 Ploughshare Tortoises (CITES I), 127 Radiated Tortoises (CITES I), and 96 chameleons (likely CITES II). Malagasy passenger arrested. 11 tortoises and 22 chameleons had died. ",http://www.traffic.org/home/2014/2/28/bangkok-a-hub-in-recent-tortoise-trafficking-incidents.html,,,,,,,,,,,,,,,,,,,
12-Feb-14,Indian Star Tortoises,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,420,Air Asia,,Luggage,X-ray (suitcase scan?),Packed inside sealed packages in luggage and covered by carbon/graphite papers,"Indian Star Tortoises (CITES II). 6 arrests (Noor-ul-Ameen, Mohammed Riaz, Balamurugan, Madhan Kumar, Sait Mohideen, and Raza Mohammed). Customs officials became suspicious when scans revealed odd-shaped features in their luggage. The tortoises had been packed inside sealed pouches. The suspects claimed that they were delivering the tortoises for money.",http://www.traffic.org/home/2014/2/28/bangkok-a-hub-in-recent-tortoise-trafficking-incidents.html; http://www.newindianexpress.com/cities/chennai/420-Star-Tortoises-Rescued-from-Bangkok-bound-Fliers/2014/02/14/article2055555.ece#.Uv291fsoi_0; http://annamiticus.com/2014/03/04/bangkok-identified-hub-tortoise-trafficking/,,,,,,,,,,,,,,,,,,,
1-Mar-14,Turtle Hatchlings,Chennai Airport,"Chennai, India","Kuala Lumpur, Malaysia ",,"Chennai, India",,9000,,,Airfreight,,,Species not reported,https://cites.org/sites/default/files/eng/cop/17/WorkingDocs/E-CoP17-73.pdf,,,,,,,,,,,,,,,,,,,
4-Mar-14,Turtles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Johannesburg, South Africa; Abu Dhabi, UAE","Moscow, Russia",,50,,,Luggage,,Wrapped in paper inside a brown bag containing Malagasy handcrafts,Russian woman born in 1991 with 50 baby turtles in her luggage; belonging to a protected species,http://www.leprogres.fr/france-monde/2014/03/04/madagascar-tentative-de-trafic-de-50-bebes-tortues,,,,,,,,,,,,,,,,,,,
11-Mar-14,Turtles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,Russia,,127,,,Luggage,Luggage exceeded the 30kg weight limit,,"The luggage was over the 30kg weight limit which led the officials to conduct a search; Dominique Rasoanaivo is the owner of the baggage is suspected of being an accomplice of the Russian arrested in Ivato on March 4, 2014",http://www.tananews.com/asides/trafic-de-tortues-les-bagages-du-trafiquant-depassaient-la-limite-de-poids/,,,,,,,,,,,,,,,,,,,
12-Mar-14,Indian Narrow-Headed Soft-Shelled Turtles; Black Pond Turtles,Don Meuang Airport,"Bangkok, Thailand",India,"Bangkok, Thailand","Hong Kong, China",,272,,,Luggage,,,"218 Black Pond Turtles (CITES I), 54 Indian Narrow-necked Soft-shell Turtles (CITES II). Two Indian nationals arrested, having arrived from Gaya and Varanasi. Royal Thai Customs discovered the turtles. The suspects were due to board a flight to Macau when their luggage was checked and the turtles were found. This same smuggling route is often used by religious tourists.",TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2014/3/27/recent-seizures-highlight-trouble-for-asias-tortoises-and-fr.html,,,,,,,,,,,,,,,,,,,
1-Apr-14,African-Spurred Tortoises,,United Kingdom,Ghana,,United Kingdom,,100,,,Airfreight,,,African-spurred Tortoises (CITES II) were destined for a UK trader. Discovered based on targeting risk assessment,http://ec.europa.eu/environment/cites/pdf/Overview%20significant%20seizures%202014.pdf,,,,,,,,,,,,,,,,,,,
11-Apr-11,Spur-Thighed Tortoise,Abu Dhabi Airport,"Abu Dhabi, UAE",,,"Abu Dhabi, UAE",,1,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
28-Apr-14,Indian Star Tortoises,Trivandrum Airport,"Kerala, India","Kerala, India","Colombo, Sri Lanka","Bangkok, Thailand",,460,,,Luggage,Customs officials detained passenger due to his suspicious behavior,,"460 Indian Star tortoises (CITES II) were soaking in a sleeping pill solution packed tightly. Customs officials stopped the suspect (Abdul Harish) for displaying suspicious behavior and checked his baggage for what appeared to be mangos. They found tortoises instead. The suspect had previously been listed as a ""sensitive traveler"" for confidential reasons.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf; http://www.thehindu.com/news/cities/Thiruvananthapuram/when-mangoes-stirred-to-life/article5959091.ece,,,,,,,,,,,,,,,,,,,
1-May-14,Morelets Crocodiles; Green iguanas,Manuel Crescencio Rejon Airport,"Merida, Mexico",,,,,6,,,Unknown,,,"2 Morelets Crocodiles (CITES I), 4 Green Iguanas (CITES II). ",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,
10-May-14,Angonokas; Radiated Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,,,521,Kenya Airways,,Luggage,,,"Angonokas (CITES I), Radiated Tortoises (CITES I). The animals were split between two suitcases of an Egyptian passenger traveling to east africa. The discovery was made before take off and the passenger disappeared.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,
14-May-14,Black Pond Turtles,Suvarnabhumi Airport,"Bangkok, Thailand","Kolkata, India",,"Bangkok, Thailand",,230,IndiGo Airlines,Flight 6E077,Luggage,,,"Black Pond turtles (CITES I) were held in 4 bags abandoned by passengers. The bags were found unattended in the arrival area of the airport. According to their tags, the bags belonged to Hashamudd M., Dantsh Zafa, Shamsad SK, and Wasi Akram",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf; http://www.ndtv.com/india-news/230-turtles-from-india-seized-at-bangkok-airport-report-562041,,,,,,,,,,,,,,,,,,,
16-May-14,Turtles; Arboreal Alligator; Lizards Horned Vipers; Five-Keeled Spiny-Tailed Iguana,Frankfurt Airport,"Frankfurt, Germany",Mexico,"Frankfurt, Germany","Barcelona, Spain",,90,,,Luggage,X-ray,,"Snake specimens were concealed in womens' stockings, while lizards were in cloth bags and boxes. The suspect, a Mexican national, was under investigation.","https://www.bostonglobe.com/news/world/2014/05/16/man-arrested-german-airport-with-suitcase-full-animals/FyYoOGNY74nC0BbZxV5nnJ/story.html ; http://www.fnp.de/rhein-main/blaulicht/Schmuggler-mit-90-Tieren-im-Koffer-erwischt;art25945,857367",,,,,,,,,,,,,,,,,,,
31-May-14,Radiated Tortoises,Prince Said Ibrahim Airport,"Grande Comore, Comoros","Grande Comore, Comoros",Tanzania,,,1014,,,Luggage,,,Radiated tortoises (CITES I) were found in 8 suitcases. The turtles came to the Comoros from madagascar via sailboat from Mahajanga-Anjouan.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,
1-Jun-14,Spectacled Caimans,,Netherlands,Guyana,,Netherlands,,163,,,Airfreight,,,Spectacled Caimans (CITES I). Found during a document check. Similar seizures were reported from French Guiana in 2013,http://ec.europa.eu/environment/cites/pdf/Overview%20significant%20seizures%202014.pdf,,,,,,,,,,,,,,,,,,,
1-Jun-14,Greek Tortoises,Weeze Airport,"Weeze, Germany",,,"Weeze, Germany",,4,,,Luggage,,,Greek tortoises (CITES II) were brought back by a German man in a cardboard box. The turtles originated in either Morocco or Algeria.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,
1-Jun-14,Snakes; Lizards; Frogs; Turtles,Pulkovo Airport,"St. Petersburg, Russia",Germany,,"St. Petersburg, Russia",,180,,,Luggage,,,The animals were in the backpack and carry on of the German passenger who was deported.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,
1-Jun-14,Pythons; Boa Constrictors; Leopard Geckos,Gran Canaria Airport,"Gran Canaria, Canary Islands","Gran Canaria, Canary Islands",,"Madrid, Spain",,,,,Luggage,,,The animals were also found with more than 5000 insects. The animals were confiscated,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,
6-Jun-14,Black-Breasted Leaf Turtles; eggs,Prague-Vaclav-Havel Airport,"Prague, Czech Republic",,,"Prague, Czech Republic",,49,,,Luggage,,,Black-breasted leaf turtles and two eggs (CITES II). The turtles were in bad shape when discovered.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_5.pdf,,,,,,,,,,,,,,,,,,,
1-Jul-14,Reptiles; snakes,Hamad Airport,"Doha, Qatar",,,"Doha, Qatar",,52,,,Luggage,,,One arrest. The reptiles were carried in 6 bags and were wrapped in cloth. ,http://thepeninsulaqatar.com/news/qatar/292003/52-endangered-reptiles-seized-at-airport,,,,,,,,,,,,,,,,,,,
8-Jul-14,Pythons,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Paris, France",,144,,,Luggage,,,"Two shipments of endangered Indonesian species; 97 Burmese pythons, two cockatoos, an orangutan, 3 gibbons (Java), four siamongs, loris, 144 animals total; at least 13 dead; arrested the suspects",http://spendeursauvage.over-blog.com/article-150-animaux-sauvages-trouves-dans-des-valises-a-l-aeroport-indonesien-124105949.html,,,,,,,,,,,,,,,,,,,
14-Jul-14,Spotted Pond Turtles,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,58,Air Asia,FD 154,Luggage,Scanner,,"58 Spotted Pond Turtles (CITES I) (mistakenly named Star Tortoises in media) found in 58 black duffel bag. CISF guards discovered several crawling objects inside the bag when it was scanned. suspect (Mohammed Sharif) said that he had been ""let on"" by a large ring of wildlife traffickers who have been operating for the past few years.",http://www.newindianexpress.com/cities/chennai/Smuggler-Tries-to-Brazenly-%E2%80%98Check-in%E2%80%99-58-Star-Tortoises/2014/07/16/article2332655.ece,,,,,,,,,,,,,,,,,,,
23-Jul-14,Boa Constrictors; Geckos; Lizards; Royal Pythons,Poncian Arriaga Airport,"San Luis Potosi, Mexico","Mexico City, Mexico","San Luis Potosi, Mexico","Guanajuato, Mexico; Guadalajara, Mexico; Mexicali, Mexico",,8,,,Airfreight,,,"Boa constrictor (CITES II), 3 geckos, 2 lizards, 2 royal pythons (CITES II), were found in four separate packages, with three different origins and three different destinations. The animals were in good condition",http://www.profepa.gob.mx/innovaportal/v/6178/1/mx.wap/asegura_profepa_8_viboras_y_reptiles_que_eran_transportados_via_aerea__por_empresa_de_paqueteria.html,,,,,,,,,,,,,,,,,,,
1-Aug-14,Box Turtles,Guadalajara Airport,"Guadalajara, Mexico","Guadalajara, Mexico",,China,,1,,,Airfreight,,,Common Box Turtle (CITES II),http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_6.pdf,,,,,,,,,,,,,,,,,,,
1-Aug-14,Black Pond Turtles,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,88,,,Luggage,CISF personnel noticed something moving in a bag and stopped its owner,Under clothing in a bag,"Black Pond Turtles (CITES I) were concealed under clothing in a bag. CISF personnel noticed movement in the bag and arrested the Indian national (Zakir Hussain, 28) carrying it. Hussain claimed that he was innocent, but officials suspected he was part of a larger North Indian smuggling network. Hussain had said that he was given the suitcase at the airport by a man who paid him Rs. 10,000",TRAFFIC Bulletin 1997 - 2016; http://www.newindianexpress.com/cities/chennai/Bid-to-Smuggle-Pond-Turtles-Foiled/2014/08/03/article2362000.ece,,,,,,,,,,,,,,,,,,,
10-Aug-14,Indian Star Tortoises,Chennai Airport,"Chennai, India","Chennai, India",,"Bangkok, Thailand",,60,Air Asia,,Luggage,,,"Indian Star Tortoises (CITES II). Officials arrested the man who the luggage belonged to, ""Thilakar, of Tondiarpet"" (35).",http://timesofindia.indiatimes.com/Home/Environment/Flora-Fauna/60-tortoises-seized-from-air-passenger-in-Chennai/articleshow/39970936.cms,,,,,,,,,,,,,,,,,,,
11-Aug-14,Turtles,Frankfurt Airport,"Frankfurt, Germany",Lebanon,,"Frankfurt, Germany",,1,,,Passenger - Clothing/Items,,,One arrest,http://www.zoll.de/SharedDocs/Pressemitteilungen/DE/Artenschutz/2014/z78_landschildkroete.html,,,,,,,,,,,,,,,,,,,
25-Aug-14,Red-Eared Slider Turtles,Munich Airport,"Munich, Germany",China,,"Munich, Germany",,2,,,Luggage,,,Turtles hidden in a soapbox. ,http://www.zoll.de/SharedDocs/Pressemitteilungen/DE/Artenschutz/2014/z76_schildkroete_m.html,,,,,,,,,,,,,,,,,,,
26-Aug-14,Black Pond Turtles; Indian Roof Turtles,Hong Kong Airport,"Hong Kong, China",,,"Hong Kong, China",,624,,,Luggage,,,"358 Black Pond turtles (CITES I), 266 Indian roofed turtles (CITES I)",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_6.pdf,,,,,,,,,,,,,,,,,,,
26-Aug-14,Carolina Terrapins,Guadalajara Airport,"Guadalajara, Mexico","Guadalajara, Mexico",,"Hong Kong, China",,1,,,Unknown,,"Inside a diaper, wrapped with tape, and inside a videogame console","Guadalajara Airport Customs discovered one Carolina Terrapin (CITES II) inside a diaper, wrapped with tape, inside a videogame console. Profepa inspected the specimen and found that the turtle didn't have documentation to prove its providence or a CITES permit. Profepa then raised a criminal complaint against a courier and parcel company for trying to export the turtle illegally to Hong Kong. ",http://www.unionjalisco.mx/articulo/2014/08/26/medio-ambiente/guadalajara/tortuga-seria-traficada-de-gdl-china,,,,,,,,,,,,,,,,,,,
9-Sep-14,Frogs; Snakes; Lizards; Tadpoles,Juan Santamaria Airport,"San Jose, Costa Rica","San Jose, Costa Rica",Panama,"Dusseldorf, Germany",,438,,,Luggage,,,"184 frogs, 42 lizards, 9 snakes, 203 tadpoles were all in plastic food containers stuffed with leaves in German passenger's baggage. Passenger was deported.",http://www.globalpost.com/dispatch/news/regions/americas/costa-rica/140917/costa-rican-wildlife-trafficking-takeout-containers,,,,,,,,,,,,,,,,,,,
11-Sep-14,Black Pond Turtles,Suvarnabhumi Airport,"Bangkok, Thailand",,,,,100,,,Unknown,,,"Airport in Karachi, Pakistan was also involved. Unclear if the turtles originated there or were destined for Karachi.",Omega 12,,,,,,,,,,,,,,,,,,,
20-Sep-14,Black Pond Turtles,Karachi Airport,"Karachi, Pakistan","Lahore, Pakistan","Karachi, Pakistan","Bangkok, Thailand",,218,,,Luggage,,"In cloth bags, cushioned with ""wet foam"", inside two suitcases","Black Pond Turtles (CITES I) were discovered in the passenger's luggage after boarding the flight for Bangkok. The suspect (Sajid) had arrived in Karachi from Lahore the day before. The turtles were found inside two suitcases in cloth bags cushioned with ""wet foam"". The passenger was taken into custody after he had already boarded the flight, and one turtle had died, although an additional 44 later died from suffocation and injuries caused during transport. The suspect claimed the shipment was ordered by an official from the Pakistani embassy in Bangkok. According to one source, the Pakistani Wildlife Department ""lacks a proper place to keep suspects till they are produced in courts and has no sanctuary to lodge confiscated wild animals till they are released into their habitat. “The police officers make different excuses to avoid keeping suspects in custody, though we request them in writing and it’s their official duty to do so,” said a senior wildlife official.""",TRAFFIC Bulletin 1997 - 2016; http://thenaturenews.com/2014/09/turtle-in-briefcase-229-black-pond-turtles-seized-at-karachi-airport/; http://www.dawn.com/news/1133251/200-turtles-found-in-luggage-onboard-bangkok-flight,,,,,,,,,,,,,,,,,,,
24-Sep-14,Diamondback Terrapins; Albino Florida Turtles; Chinese Red-Necked Turtles; Blandings Turtles; Wood Turtles,Detroit Airport,"Detroit, USA","Detroit, USA",,China,,1007,,,Luggage,,,"700 diamond back terrapins (CITES II), 16 Chinese Red-necked turtles(CITES II), wood turtles(CITES II), blanding turtles (CITES II). The turtles were concealed in snow boots and cereal boxes, and were being carried by a courier working for a Canadian citizen who had a recent arrest for wildlife trafficking. Two arrests. The two had worked together extensively.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_6.pdf,,,,,,,,,,,,,,,,,,,
24-Sep-14,Reptiles; Amphibians; Tadpoles; Boa Constrictor; Glass Frogs,Juan Santamaria Airport,"San Jose, Costa Rica","San Jose, Costa Rica",Panama,Germany,,496,,,Luggage,,,Boa constrictor (CITES II). German tourist packed the animals into plastic boxes. Most animals were already dead. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_6.pdf,,,,,,,,,,,,,,,,,,,
27-Sep-14,Radiated Tortoises,Guangzhou Airport,"Guangzhou, China",Madagascar,"Bangkok, Thailand","Guangzhou, China",,195,,,Luggage,,,Radiated tortoises (CITES I) were found with 8 lizards. All were found alive.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_6.pdf,,,,,,,,,,,,,,,,,,,
5-Nov-14,Black Pond Turtles,Suvarnabhumi Airport,"Bangkok, Thailand","Dhaka, Bangladesh",,"Bangkok, Thailand",,669,,,Luggage,,,"Thai Customs officials seized 669 Black Pond Turtles (CITES I). The turtles were found inside the eight suitcases of four Bangladeshi passengers upon their arrival in Bangkok from Dhaka. The suspects initially evaded arrest, but one day later, Suvarnabhumi Airport authorities arrested three men for smuggling turtles for a wildlife trafficking gang (Pongsak Puyapan, Wanas Hatawiset, and Pariwat Hannarong). All three worked as porters for a contracting company. They initially denied involvement, but eventually admitted that they were paid 500 baht each to deliver the suitcases to someone in the airport parking lot.",http://namnewsnetwork.org/v3/read-photo.php?id=MTY5NjE=; Omega 12,,,,,,,,,,,,,,,,,,,
14-Dec-14,Radiated Tortoises,Roissy Airport,"Paris, France",Madagascar,"Paris, France",Laos,,170,,,Airfreight,,False bottom of crates filled with sea cucumbers,"Radiated tortoises (CITES I) were discovered in 6 crates, 15 died shortly after being discovered. ",TRAFFIC Bulletin 1997 - 2016; http://www.thelocal.fr/20141229/endangered-tortoises-found-at-paris-airport,,,,,,,,,,,,,,,,,,,
15-Dec-14,Indian Narrow-Headed Soft-Shelled Turtles,Hazrat Shahjalal Airport,"Dhaka, Bangladesh","Dhaka, Bangladesh",,Malaysia,,510,,,Luggage,Tip-off,,Indian narrow-headed soft-shelled Turtles (CITES I/II). Authorities acted on a tip-off and searched a bag(s) that had been abandoned near Gate 1 in the heavy baggage gate area of the airport.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_7.pdf; http://www.thedailystar.net/510-tortoises-seized-at-dhaka-airport-55512; http://en.prothom-alo.com/bangladesh/news/57107/510-tortoises-rescues-at-Dhaka-airport; https://www.youtube.com/watch?feature=player_embedded&v=z2Jr-BxACKk,,,,,,,,,,,,,,,,,,,
19-Dec-14,Common Water Monitors,Shanghai Pudong Airport,"Shanghai, China",,,"Shanghai, China",,3,,,Luggage,,,Common Water monitors (CITES II) were held in a briefcase as gifts for friends.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_7.pdf,,,,,,,,,,,,,,,,,,,
1-Jan-15,Pig-Nosed Turtles,Soekarno Hatta Airport,"Jakarta, Indonesia",,,"Jakarta, Indonesia",,5284,,,Airfreight,,,Pig-nosed Turtles (CITES II) hidden in a shipment of shellfish,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,
1-Jan-15,Pig-Nosed Turtles,Ngurah Rai Airport,"Denpasar, Indonesia","Timika, Indonesia",,"Denpasar, Indonesia",,2350,,,Unknown,,,Pig-nosed turtles (CITES II),http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,
7-Jan-15,Black Pond Turtles,Changi Airport,Singapore,"Dhaka, Bangladesh",Singapore,"Surabaya, Indonesia",,190,,,Luggage,,,"Black Pond Turtles (CITES I). The turtles came from india, and all turtles either died in transport or were put down. The three pieces of luggage were lined with diapers and clothes. One arrest.",,,,,,,,,,,,,,,,,,,,
