Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,,,,,,,,,,,,,,,,,,
11/6/2010,Saffron Finches; Double-collared seedeaters,Brasilia Airport,"Brasilia, Brazil","Brasilia, Brazil",,"Fortaleza, Brazil",,232,Gol Transportes Aereos,Luggage,,,"The passenger refused to open his bags when the check in attendant requested, so the Federal Police were summonded who discovered the consignment. The passenger had two previous wildlife offenses. One bird was dead, and the rest were in poor condition as the bags were unventilated and had no food or water.",http://www.aderjurumirim.org/site/noticias/Ibama-apreende-passaros-que-embarcavam-ilegalmente-no-aeroporto-de-Brasilia/1220.html,,,,,,,,,,,,,,,,,,,,
11/22/2010,Gyrfalcons,Sheremetyevo Airport,"Moscow, Russia",,"Moscow, Russia","Damascus, Syria",,8,,Luggage,,Boxes embeddded in luggage,"The gyrfalcons were embedded in luggage in the hold of the plane; wrapped in cloth, hooded and stored by four in the pipeline. The passenger who recorded the boxes as his luggage was unloaded and detaiend before being released pending court appearance",http://www.ifaw.org/france/node/19286 ; http://www.prnewswire.com/news-releases/rare-falcons-confiscated-at-moscow-airport-109896999.html ; http://kamtime.ru/node/1112,,,,,,,,,,,,,,,,,,,,
12/3/2010,Merlins,Petropavlovsk Kamchatskiy Airport,"Petropavlovsk Kamchatskiy, Russia","Petropavlovsk Kamchatskiy, Russia",,"Moscow, Russia",,8,Transaero,Luggage,,,Gyrfalcons (CITES I) were packed in two bags. Two arrests.,http://kamtime.ru/node/1112 ; http://news.bcm.ru/economics/2010/12/03/17220/1,,,,,,,,,,,,,,,,,,,,
12/7/2010,Falcons,Tribhuvan Airport,"Kathmandu, Nepal","Kathmandu, Nepal",,"Doha, Qatar",,10,Qatar Airways,Luggage,,,The pakistani passenger smuggling the falcons was arrested. ,http://www.india-forums.com/news/nepal/296037-pakistani-held-in-nepal-for-smuggling-out-falcons.htm,,,,,,,,,,,,,,,,,,,,
1/??/2011,Gyrfalcons,Dubai Airport,"Dubai, UAE",Kazakhstan,,"Dubai, UAE",,2,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
1/??/2011,Falcons,Dubai Airport,"Dubai, UAE",Kuwait,,"Dubai, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
1/3/2011,Parakeets,Val-de-cans Airport,"Belem, Brazil","Rio de Janeiro, Brazil",,"Belem, Brazil",,2,Gol Transportes Aereos,Airfreight,,,One individual fined.,http://www.ibama.gov.br/publicadas/ibama-apreende-80-periquitos-em-situacao-de-maus-tratos-no-aeroporto-de-belem,,,,,,,,,,,,,,,,,,,,
1/1/2011,Black-throated laughing thrushes,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,Bahrain,,14,,Luggage,X-ray,Boxes in luggage,Hidden in 12 boxes in the luggage of a passenger,http://www.traffic.org/home/2011/2/19/rare-birds-and-other-wildlife-seized-at-jakarta-airport-duri.html,,,,,,,,,,,,,,,,,,,,
1/7/2011,Helmeted hornbills,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,Netherlands,,,,Unknown,,,orangutan skull also found,http://www.traffic.org/home/2011/2/19/rare-birds-and-other-wildlife-seized-at-jakarta-airport-duri.html,,,,,,,,,,,,,,,,,,,,
1/13/2011,Birds; Hill Mynahs,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,Saudi Arabia,,2,,Luggage,,,"Two Hill Mynas (CITES II) and other birds were found concealed on the passenger. Birds were stuffed into 10 by 20 cm cylinders which were hidden beneath grapes, pears and apples in a carry on paper bag",http://www.traffic.org/home/2011/2/19/rare-birds-and-other-wildlife-seized-at-jakarta-airport-duri.html,,,,,,,,,,,,,,,,,,,,
1/19/2011,Red Siskins,Ben Gurion Airport,"Tel Aviv, Israel","Brussels, Belgium",,"Tel Aviv, Israel",,8,,Passenger Clothing/Items,,,Red Siskin (CITES I). One arrest of Israeli national returing from Brussels. Birds were hidden in 4 boxes hidden on the body of the passenger. The birds were detected by a full-body scanner(not elaborated).,http://www.haaretz.com/woman-nabbed-with-44-iphones-in-stockings-at-ben-gurion-airport-1.338784,,,,,,,,,,,,,,,,,,,,
1/31/2011,Bali Mynas,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,,,2,,Luggage,,,Bali Mynas (CITES I) are Critically Endangered. Discovered with four slow lorises and eight pig-nosed turtles,TRAFFIC Bulletin 1997 - 2016,,,cannot verify,,,,,,,,,,,,,,,,,
